LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,5,0","0,13,0","0,10,0","0,0,21","0,0,22","0,0,24","0,0,19",1.6333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,4,0","0,11,0","0,9,0","0,0,18","0,0,19","0,0,21","0,0,16",1.65
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,9,0","0,7,0","0,0,15","0,0,16","0,0,18","0,0,14",1.6666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,7,0","0,6,0","0,0,12","0,0,13","0,0,15","0,0,12",1.6833333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,6,0","0,5,0","0,0,10","0,0,11","0,0,13","0,0,10",1.7
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,5,0","0,4,0","0,0,8","0,0,9","0,0,10","0,0,8",1.7166666666666666
"0,0,0","1,0,0","2,0,0","3,0,0","0,3,0","0,4,0","0,8,0","0,5,0","0,0,14","0,0,17","0,0,28","0,0,20",1.7333333333333334
"2,0,0","3,0,0","2,0,0","2,0,0","0,3,0","0,3,0","0,9,0","0,5,0","0,0,14","0,0,18","0,0,28","0,0,20",1.75
"4,0,0","3,0,0","1,0,0","2,0,0","0,3,0","0,3,0","0,7,0","0,4,0","0,0,12","0,0,18","0,0,26","0,0,18",1.7666666666666666
"4,0,0","3,0,0","1,0,0","1,0,0","0,2,0","0,2,0","0,6,0","0,4,0","0,0,11","0,0,17","0,0,22","0,0,16",1.7833333333333334
"3,0,0","2,0,0","1,0,0","1,0,0","0,2,0","0,2,0","0,5,0","0,3,0","0,0,10","0,0,15","0,0,22","0,0,15",1.8
"3,0,0","2,0,0","0,0,0","1,0,0","0,2,0","0,1,0","0,4,0","0,3,0","0,0,9","0,0,14","0,0,20","0,0,13",1.8166666666666667
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,2,0","0,4,0","0,3,0","0,0,9","0,0,12","0,0,20","0,0,13",1.8333333333333333
"2,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,3,0","0,2,0","0,0,8","0,0,11","0,0,18","0,0,12",1.85
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,3,0","0,2,0","0,0,7","0,0,11","0,0,15","0,0,11",1.8666666666666667
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,6","0,0,9","0,0,13","0,0,9",1.8833333333333333
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,6","0,0,8","0,0,12","0,0,8",1.9
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,5","0,0,7","0,0,10","0,0,7",1.9166666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,6","0,0,10","0,0,7",1.9333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,6","0,0,9","0,0,6",1.95
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,0,4","0,0,5","0,0,7","0,0,5",1.9666666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,5","0,0,6","0,0,5",1.9833333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,4","0,0,6","0,0,4",2.0
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,2","0,0,4","0,0,5","0,0,4",2.0166666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,2","0,0,3","0,0,4","0,0,3",2.033333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,2","0,0,2","0,0,4","0,0,3",2.05
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,0,2","0,0,3","0,0,2",2.066666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,0,2","0,0,2","0,0,2",2.0833333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,5,0","0,16,0","0,14,0","0,0,28","0,0,23","0,0,39","0,0,26",2.1
"2,0,0","2,0,0","1,0,0","1,0,0","0,2,0","0,5,0","0,16,0","0,13,0","0,0,36","0,0,34","0,0,52","0,0,33",2.1166666666666667
"2,0,0","3,0,0","1,0,0","0,0,0","0,2,0","0,5,0","0,20,0","0,17,0","0,0,43","0,0,35","0,0,51","0,0,35",2.1333333333333333
"3,0,0","3,0,0","1,0,0","0,0,0","0,2,0","0,8,0","0,22,0","0,17,0","0,0,45","0,0,36","0,0,61","0,0,38",2.15
"2,0,0","2,0,0","1,0,0","0,0,0","0,1,0","0,8,0","0,22,0","0,18,0","0,0,48","0,0,43","0,0,59","0,0,39",2.1666666666666665
"3,0,0","2,0,0","0,0,0","0,0,0","0,1,0","0,10,0","0,22,0","0,24,0","0,0,50","0,0,45","0,0,60","0,0,46",2.183333333333333
"2,0,0","2,0,0","1,0,0","0,0,0","0,1,0","0,11,0","0,26,0","0,27,0","0,0,48","0,0,53","0,0,61","0,0,44",2.2
"2,0,0","1,0,0","1,0,0","0,0,0","0,2,0","0,11,0","0,26,0","0,28,0","0,0,51","0,0,52","0,0,58","0,0,43",2.216666666666667
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,15,0","0,28,0","0,24,0","0,0,50","0,0,51","0,0,59","0,0,44",2.2333333333333334
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,16,0","0,28,0","0,23,0","0,0,53","0,0,49","0,0,56","0,0,43",2.25
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,14,0","0,25,0","0,20,0","0,0,51","0,0,46","0,0,54","0,0,40",2.2666666666666666
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,13,0","0,22,0","0,18,0","0,0,46","0,0,43","0,0,50","0,0,36",2.283333333333333
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,11,0","0,24,0","0,18,0","0,0,42","0,0,40","0,0,46","0,0,33",2.3
"0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,9,0","0,24,0","0,18,0","0,0,36","0,0,36","0,0,41","0,0,31",2.316666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,7,0","0,21,0","0,14,0","0,0,30","0,0,32","0,0,37","0,0,28",2.3333333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,7,0","0,18,0","0,12,0","0,0,26","0,0,27","0,0,32","0,0,24",2.35
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,6,0","0,15,0","0,10,0","0,0,24","0,0,24","0,0,29","0,0,21",2.3666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,5,0","0,13,0","0,9,0","0,0,20","0,0,21","0,0,25","0,0,18",2.3833333333333333
