LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"2,0,0","8,0,0","6,0,0","7,0,0","0,30,0","0,97,0","0,91,0","0,53,0","0,0,60","0,0,47","0,0,53","0,0,57",111.65
"2,0,0","7,0,0","5,0,0","6,0,0","0,28,0","0,94,0","0,83,0","0,65,0","0,0,57","0,0,43","0,0,45","0,0,55",111.66666666666667
"1,0,0","6,0,0","4,0,0","6,0,0","0,28,0","0,87,0","0,73,0","0,69,0","0,0,49","0,0,36","0,0,43","0,0,51",111.68333333333334
"1,0,0","6,0,0","4,0,0","5,0,0","0,26,0","0,81,0","0,63,0","0,69,0","0,0,44","0,0,34","0,0,42","0,0,47",111.7
"2,0,0","7,0,0","3,0,0","4,0,0","0,23,0","0,81,0","0,53,0","0,66,0","0,0,41","0,0,32","0,0,41","0,0,45",111.71666666666667
"3,0,0","14,0,0","5,0,0","5,0,0","0,23,0","0,75,0","0,51,0","0,59,0","0,0,37","0,0,29","0,0,41","0,0,41",111.73333333333333
"3,0,0","11,0,0","4,0,0","4,0,0","0,23,0","0,78,0","0,59,0","0,69,0","0,0,39","0,0,31","0,0,38","0,0,36",111.75
"4,0,0","10,0,0","5,0,0","3,0,0","0,28,0","0,96,0","0,80,0","0,110,0","0,0,53","0,0,43","0,0,36","0,0,32",111.76666666666667
"3,0,0","8,0,0","4,0,0","2,0,0","0,25,0","0,110,0","0,68,0","0,97,0","0,0,61","0,0,41","0,0,32","0,0,31",111.78333333333333
"3,0,0","6,0,0","6,0,0","14,0,0","0,50,0","0,96,0","0,62,0","0,83,0","0,0,63","0,0,41","0,0,33","0,0,29",111.8
"4,0,0","24,0,0","37,0,0","12,0,0","0,41,0","0,85,0","0,50,0","0,68,0","0,0,54","0,0,37","0,0,31","0,0,26",111.81666666666666
"3,0,0","55,0,0","46,0,0","9,0,0","0,36,0","0,70,0","0,41,0","0,63,0","0,0,53","0,0,35","0,0,29","0,0,22",111.83333333333333
"4,0,0","68,0,0","36,0,0","7,0,0","0,30,0","0,58,0","0,34,0","0,52,0","0,0,47","0,0,30","0,0,26","0,0,18",111.85
"10,0,0","76,0,0","29,0,0","7,0,0","0,26,0","0,47,0","0,29,0","0,44,0","0,0,39","0,0,26","0,0,21","0,0,16",111.86666666666666
"18,0,0","71,0,0","23,0,0","6,0,0","0,24,0","0,41,0","0,29,0","0,37,0","0,0,33","0,0,23","0,0,19","0,0,14",111.88333333333334
"24,0,0","57,0,0","19,0,0","5,0,0","0,19,0","0,36,0","0,25,0","0,33,0","0,0,30","0,0,21","0,0,18","0,0,13",111.9
"23,0,0","45,0,0","17,0,0","5,0,0","0,19,0","0,38,0","0,23,0","0,28,0","0,0,28","0,0,21","0,0,17","0,0,15",111.91666666666667
"19,0,0","37,0,0","14,0,0","4,0,0","0,20,0","0,36,0","0,23,0","0,29,0","0,0,29","0,0,22","0,0,22","0,0,22",111.93333333333334
"17,0,0","40,0,0","11,0,0","6,0,0","0,23,0","0,37,0","0,22,0","0,33,0","0,0,32","0,0,28","0,0,33","0,0,39",111.95
"16,0,0","38,0,0","9,0,0","6,0,0","0,35,0","0,32,0","0,31,0","0,35,0","0,0,54","0,0,57","0,0,42","0,0,43",111.96666666666667
"13,0,0","30,0,0","7,0,0","7,0,0","0,44,0","0,32,0","0,30,0","0,35,0","0,0,68","0,0,86","0,0,51","0,0,44",111.98333333333333
"10,0,0","29,0,0","9,0,0","5,0,0","0,42,0","0,31,0","0,28,0","0,34,0","0,0,67","0,0,82","0,0,58","0,0,38",112.0
"8,0,0","23,0,0","7,0,0","4,0,0","0,37,0","0,27,0","0,25,0","0,31,0","0,0,68","0,0,81","0,0,58","0,0,33",112.01666666666667
"8,0,0","20,0,0","5,0,0","4,0,0","0,34,0","0,25,0","0,24,0","0,29,0","0,0,67","0,0,76","0,0,65","0,0,29",112.03333333333333
"10,0,0","19,0,0","5,0,0","3,0,0","0,32,0","0,28,0","0,26,0","0,28,0","0,0,57","0,0,65","0,0,55","0,0,27",112.05
"8,0,0","19,0,0","6,0,0","3,0,0","0,34,0","0,29,0","0,28,0","0,27,0","0,0,51","0,0,54","0,0,47","0,0,25",112.06666666666666
"6,0,0","18,0,0","6,0,0","3,0,0","0,36,0","0,33,0","0,27,0","0,35,0","0,0,48","0,0,55","0,0,52","0,0,25",112.08333333333333
"5,0,0","18,0,0","7,0,0","4,0,0","0,36,0","0,43,0","0,24,0","0,34,0","0,0,49","0,0,64","0,0,72","0,0,37",112.1
"4,0,0","15,0,0","6,0,0","3,0,0","0,31,0","0,48,0","0,22,0","0,29,0","0,0,49","0,0,86","0,0,88","0,0,55",112.11666666666666
"3,0,0","12,0,0","5,0,0","2,0,0","0,28,0","0,46,0","0,32,0","0,34,0","0,0,48","0,0,92","0,0,98","0,0,57",112.13333333333334
"3,0,0","13,0,0","6,0,0","2,0,0","0,30,0","0,51,0","0,30,0","0,32,0","0,0,49","0,0,86","0,0,104","0,0,55",112.15
"3,0,0","13,0,0","7,0,0","3,0,0","0,38,0","0,47,0","0,36,0","0,44,0","0,0,54","0,0,79","0,0,93","0,0,62",112.16666666666667
"2,0,0","10,0,0","6,0,0","3,0,0","0,33,0","0,39,0","0,55,0","0,48,0","0,0,58","0,0,72","0,0,77","0,0,55",112.18333333333334
"2,0,0","14,0,0","4,0,0","3,0,0","0,30,0","0,48,0","0,49,0","0,48,0","0,0,58","0,0,67","0,0,71","0,0,51",112.2
"2,0,0","15,0,0","4,0,0","4,0,0","0,29,0","0,52,0","0,49,0","0,57,0","0,0,59","0,0,64","0,0,66","0,0,49",112.21666666666667
"2,0,0","12,0,0","3,0,0","8,0,0","0,28,0","0,50,0","0,48,0","0,61,0","0,0,60","0,0,65","0,0,66","0,0,45",112.23333333333333
"2,0,0","10,0,0","2,0,0","18,0,0","0,41,0","0,45,0","0,46,0","0,55,0","0,0,73","0,0,79","0,0,73","0,0,38",112.25
"2,0,0","8,0,0","3,0,0","14,0,0","0,40,0","0,41,0","0,41,0","0,46,0","0,0,82","0,0,80","0,0,72","0,0,32",112.26666666666667
"2,0,0","7,0,0","4,0,0","12,0,0","0,39,0","0,42,0","0,39,0","0,43,0","0,0,76","0,0,68","0,0,60","0,0,27",112.28333333333333
"1,0,0","6,0,0","5,0,0","13,0,0","0,41,0","0,41,0","0,41,0","0,40,0","0,0,73","0,0,61","0,0,51","0,0,24",112.3
"2,0,0","8,0,0","10,0,0","10,0,0","0,43,0","0,41,0","0,34,0","0,39,0","0,0,72","0,0,58","0,0,47","0,0,25",112.31666666666666
"2,0,0","7,0,0","10,0,0","9,0,0","0,43,0","0,43,0","0,34,0","0,46,0","0,0,67","0,0,56","0,0,46","0,0,34",112.33333333333333
"1,0,0","6,0,0","10,0,0","7,0,0","0,36,0","0,48,0","0,63,0","0,45,0","0,0,64","0,0,66","0,0,63","0,0,53",112.35
"1,0,0","5,0,0","10,0,0","6,0,0","0,32,0","0,52,0","0,77,0","0,43,0","0,0,63","0,0,62","0,0,67","0,0,57",112.36666666666666
"1,0,0","5,0,0","8,0,0","6,0,0","0,28,0","0,54,0","0,84,0","0,44,0","0,0,67","0,0,55","0,0,65","0,0,54",112.38333333333334
"1,0,0","8,0,0","10,0,0","6,0,0","0,26,0","0,58,0","0,77,0","0,50,0","0,0,62","0,0,51","0,0,64","0,0,55",112.4
"2,0,0","6,0,0","10,0,0","6,0,0","0,22,0","0,50,0","0,73,0","0,55,0","0,0,58","0,0,50","0,0,65","0,0,56",112.41666666666667
"4,0,0","12,0,0","8,0,0","6,0,0","0,23,0","0,48,0","0,65,0","0,52,0","0,0,57","0,0,54","0,0,68","0,0,65",112.43333333333334
"3,0,0","16,0,0","8,0,0","5,0,0","0,24,0","0,49,0","0,94,0","0,68,0","0,0,60","0,0,56","0,0,71","0,0,68",112.45
"3,0,0","14,0,0","6,0,0","5,0,0","0,24,0","0,43,0","0,83,0","0,62,0","0,0,55","0,0,55","0,0,66","0,0,69",112.46666666666667
"2,0,0","15,0,0","8,0,0","4,0,0","0,22,0","0,38,0","0,70,0","0,55,0","0,0,49","0,0,52","0,0,66","0,0,64",112.48333333333333
"2,0,0","16,0,0","7,0,0","3,0,0","0,22,0","0,36,0","0,67,0","0,51,0","0,0,45","0,0,48","0,0,56","0,0,57",112.5
"3,0,0","14,0,0","6,0,0","4,0,0","0,26,0","0,42,0","0,61,0","0,55,0","0,0,46","0,0,48","0,0,55","0,0,49",112.51666666666667
"3,0,0","14,0,0","7,0,0","4,0,0","0,34,0","0,41,0","0,67,0","0,55,0","0,0,44","0,0,57","0,0,69","0,0,55",112.53333333333333
"7,0,0","17,0,0","7,0,0","6,0,0","0,44,0","0,44,0","0,66,0","0,52,0","0,0,55","0,0,53","0,0,64","0,0,49",112.55
"6,0,0","16,0,0","5,0,0","4,0,0","0,41,0","0,45,0","0,74,0","0,46,0","0,0,57","0,0,50","0,0,54","0,0,48",112.56666666666666
"5,0,0","15,0,0","6,0,0","7,0,0","0,44,0","0,43,0","0,84,0","0,49,0","0,0,58","0,0,45","0,0,55","0,0,64",112.58333333333333
"5,0,0","13,0,0","5,0,0","6,0,0","0,46,0","0,40,0","0,83,0","0,50,0","0,0,64","0,0,44","0,0,57","0,0,71",112.6
"4,0,0","13,0,0","5,0,0","5,0,0","0,44,0","0,38,0","0,88,0","0,52,0","0,0,58","0,0,43","0,0,55","0,0,69",112.61666666666666
"3,0,0","13,0,0","4,0,0","4,0,0","0,40,0","0,37,0","0,80,0","0,48,0","0,0,54","0,0,44","0,0,49","0,0,61",112.63333333333334
"3,0,0","11,0,0","3,0,0","4,0,0","0,34,0","0,38,0","0,70,0","0,42,0","0,0,50","0,0,42","0,0,47","0,0,55",112.65
"3,0,0","9,0,0","3,0,0","5,0,0","0,33,0","0,35,0","0,59,0","0,37,0","0,0,47","0,0,39","0,0,43","0,0,52",112.66666666666667
"4,0,0","9,0,0","4,0,0","4,0,0","0,29,0","0,36,0","0,51,0","0,33,0","0,0,43","0,0,34","0,0,40","0,0,55",112.68333333333334
"3,0,0","7,0,0","3,0,0","8,0,0","0,27,0","0,34,0","0,47,0","0,36,0","0,0,39","0,0,37","0,0,37","0,0,45",112.7
"4,0,0","6,0,0","5,0,0","13,0,0","0,37,0","0,37,0","0,49,0","0,48,0","0,0,43","0,0,39","0,0,38","0,0,43",112.71666666666667
"3,0,0","10,0,0","12,0,0","35,0,0","0,82,0","0,55,0","0,48,0","0,53,0","0,0,45","0,0,38","0,0,37","0,0,41",112.73333333333333
"2,0,0","8,0,0","41,0,0","72,0,0","0,78,0","0,45,0","0,41,0","0,45,0","0,0,45","0,0,41","0,0,32","0,0,34",112.75
"2,0,0","36,0,0","67,0,0","57,0,0","0,62,0","0,38,0","0,37,0","0,40,0","0,0,49","0,0,49","0,0,33","0,0,30",112.76666666666667
"4,0,0","43,0,0","53,0,0","46,0,0","0,55,0","0,33,0","0,37,0","0,41,0","0,0,50","0,0,47","0,0,29","0,0,31",112.78333333333333
"8,0,0","66,0,0","42,0,0","37,0,0","0,48,0","0,30,0","0,31,0","0,35,0","0,0,42","0,0,41","0,0,28","0,0,28",112.8
"18,0,0","56,0,0","34,0,0","30,0,0","0,41,0","0,32,0","0,30,0","0,34,0","0,0,38","0,0,38","0,0,29","0,0,29",112.81666666666666
"25,0,0","45,0,0","28,0,0","25,0,0","0,37,0","0,33,0","0,31,0","0,34,0","0,0,35","0,0,34","0,0,27","0,0,28",112.83333333333333
"23,0,0","36,0,0","22,0,0","20,0,0","0,39,0","0,33,0","0,34,0","0,33,0","0,0,38","0,0,32","0,0,24","0,0,30",112.85
"20,0,0","28,0,0","20,0,0","19,0,0","0,37,0","0,31,0","0,34,0","0,34,0","0,0,37","0,0,29","0,0,24","0,0,30",112.86666666666666
"17,0,0","26,0,0","17,0,0","15,0,0","0,37,0","0,32,0","0,37,0","0,35,0","0,0,35","0,0,29","0,0,26","0,0,30",112.88333333333334
"13,0,0","22,0,0","15,0,0","12,0,0","0,44,0","0,32,0","0,34,0","0,46,0","0,0,35","0,0,30","0,0,27","0,0,30",112.9
"11,0,0","23,0,0","12,0,0","10,0,0","0,38,0","0,30,0","0,36,0","0,51,0","0,0,38","0,0,31","0,0,30","0,0,28",112.91666666666667
"9,0,0","19,0,0","10,0,0","8,0,0","0,33,0","0,38,0","0,39,0","0,49,0","0,0,43","0,0,37","0,0,30","0,0,29",112.93333333333334
"7,0,0","21,0,0","9,0,0","8,0,0","0,31,0","0,42,0","0,40,0","0,46,0","0,0,46","0,0,41","0,0,34","0,0,30",112.95
"6,0,0","17,0,0","11,0,0","16,0,0","0,35,0","0,42,0","0,39,0","0,54,0","0,0,47","0,0,43","0,0,40","0,0,34",112.96666666666667
"5,0,0","18,0,0","10,0,0","32,0,0","0,43,0","0,45,0","0,40,0","0,64,0","0,0,61","0,0,48","0,0,40","0,0,36",112.98333333333333
"4,0,0","14,0,0","8,0,0","26,0,0","0,39,0","0,46,0","0,35,0","0,57,0","0,0,67","0,0,52","0,0,39","0,0,36",113.0
"4,0,0","15,0,0","7,0,0","20,0,0","0,43,0","0,43,0","0,31,0","0,50,0","0,0,75","0,0,50","0,0,34","0,0,32",113.01666666666667
"3,0,0","12,0,0","6,0,0","23,0,0","0,50,0","0,47,0","0,30,0","0,47,0","0,0,74","0,0,43","0,0,34","0,0,30",113.03333333333333
"3,0,0","11,0,0","7,0,0","21,0,0","0,54,0","0,43,0","0,32,0","0,46,0","0,0,83","0,0,51","0,0,33","0,0,29",113.05
"2,0,0","11,0,0","9,0,0","17,0,0","0,48,0","0,48,0","0,34,0","0,49,0","0,0,87","0,0,49","0,0,32","0,0,30",113.06666666666666
"2,0,0","9,0,0","7,0,0","14,0,0","0,41,0","0,51,0","0,35,0","0,51,0","0,0,76","0,0,45","0,0,32","0,0,28",113.08333333333333
"3,0,0","13,0,0","6,0,0","12,0,0","0,42,0","0,57,0","0,50,0","0,54,0","0,0,75","0,0,47","0,0,45","0,0,46",113.1
"2,0,0","10,0,0","5,0,0","9,0,0","0,37,0","0,62,0","0,72,0","0,54,0","0,0,73","0,0,47","0,0,50","0,0,46",113.11666666666666
"2,0,0","9,0,0","4,0,0","8,0,0","0,36,0","0,61,0","0,70,0","0,60,0","0,0,70","0,0,44","0,0,46","0,0,44",113.13333333333334
"1,0,0","7,0,0","4,0,0","9,0,0","0,34,0","0,61,0","0,58,0","0,54,0","0,0,66","0,0,48","0,0,44","0,0,41",113.15
"1,0,0","10,0,0","3,0,0","8,0,0","0,30,0","0,52,0","0,54,0","0,61,0","0,0,62","0,0,48","0,0,48","0,0,51",113.16666666666667
"2,0,0","9,0,0","2,0,0","6,0,0","0,28,0","0,51,0","0,53,0","0,56,0","0,0,59","0,0,52","0,0,55","0,0,58",113.18333333333334
"3,0,0","13,0,0","2,0,0","7,0,0","0,36,0","0,50,0","0,52,0","0,53,0","0,0,62","0,0,54","0,0,54","0,0,55",113.2
"2,0,0","11,0,0","3,0,0","6,0,0","0,37,0","0,44,0","0,59,0","0,53,0","0,0,62","0,0,49","0,0,57","0,0,55",113.21666666666667
"2,0,0","10,0,0","4,0,0","6,0,0","0,45,0","0,51,0","0,52,0","0,50,0","0,0,58","0,0,49","0,0,52","0,0,51",113.23333333333333
"3,0,0","8,0,0","3,0,0","7,0,0","0,45,0","0,49,0","0,51,0","0,51,0","0,0,54","0,0,47","0,0,47","0,0,46",113.25
"3,0,0","7,0,0","4,0,0","13,0,0","0,41,0","0,50,0","0,52,0","0,55,0","0,0,53","0,0,48","0,0,43","0,0,41",113.26666666666667
"2,0,0","8,0,0","3,0,0","10,0,0","0,50,0","0,58,0","0,60,0","0,51,0","0,0,58","0,0,49","0,0,45","0,0,44",113.28333333333333
"2,0,0","7,0,0","4,0,0","11,0,0","0,84,0","0,76,0","0,63,0","0,54,0","0,0,59","0,0,52","0,0,44","0,0,52",113.3
"2,0,0","21,0,0","38,0,0","24,0,0","0,68,0","0,61,0","0,53,0","0,45,0","0,0,50","0,0,44","0,0,38","0,0,42",113.31666666666666
"2,0,0","56,0,0","53,0,0","19,0,0","0,55,0","0,55,0","0,48,0","0,38,0","0,0,45","0,0,41","0,0,33","0,0,35",113.33333333333333
"5,0,0","65,0,0","42,0,0","15,0,0","0,47,0","0,47,0","0,42,0","0,34,0","0,0,41","0,0,35","0,0,31","0,0,31",113.35
"7,0,0","73,0,0","34,0,0","12,0,0","0,41,0","0,48,0","0,40,0","0,31,0","0,0,38","0,0,32","0,0,29","0,0,27",113.36666666666666
"15,0,0","58,0,0","27,0,0","11,0,0","0,39,0","0,43,0","0,39,0","0,32,0","0,0,42","0,0,33","0,0,28","0,0,27",113.38333333333334
"18,0,0","46,0,0","23,0,0","9,0,0","0,35,0","0,40,0","0,43,0","0,37,0","0,0,44","0,0,32","0,0,28","0,0,26",113.4
"17,0,0","38,0,0","19,0,0","7,0,0","0,36,0","0,38,0","0,39,0","0,37,0","0,0,42","0,0,30","0,0,28","0,0,25",113.41666666666667
"15,0,0","33,0,0","17,0,0","8,0,0","0,35,0","0,36,0","0,33,0","0,37,0","0,0,46","0,0,31","0,0,28","0,0,24",113.43333333333334
"13,0,0","29,0,0","14,0,0","10,0,0","0,34,0","0,40,0","0,44,0","0,37,0","0,0,46","0,0,33","0,0,27","0,0,26",113.45
"10,0,0","23,0,0","11,0,0","8,0,0","0,37,0","0,37,0","0,49,0","0,45,0","0,0,50","0,0,40","0,0,33","0,0,28",113.46666666666667
"8,0,0","21,0,0","9,0,0","6,0,0","0,33,0","0,36,0","0,46,0","0,38,0","0,0,53","0,0,42","0,0,37","0,0,31",113.48333333333333
"6,0,0","17,0,0","7,0,0","6,0,0","0,37,0","0,33,0","0,48,0","0,35,0","0,0,52","0,0,43","0,0,37","0,0,29",113.5
"5,0,0","14,0,0","7,0,0","6,0,0","0,36,0","0,33,0","0,53,0","0,32,0","0,0,49","0,0,41","0,0,35","0,0,26",113.51666666666667
"5,0,0","11,0,0","6,0,0","6,0,0","0,30,0","0,36,0","0,49,0","0,30,0","0,0,51","0,0,40","0,0,34","0,0,26",113.53333333333333
"4,0,0","10,0,0","5,0,0","7,0,0","0,30,0","0,39,0","0,57,0","0,31,0","0,0,52","0,0,41","0,0,33","0,0,24",113.55
"6,0,0","9,0,0","4,0,0","6,0,0","0,30,0","0,40,0","0,55,0","0,38,0","0,0,51","0,0,39","0,0,34","0,0,25",113.56666666666666
"5,0,0","11,0,0","4,0,0","8,0,0","0,37,0","0,46,0","0,53,0","0,40,0","0,0,55","0,0,39","0,0,35","0,0,24",113.58333333333333
"4,0,0","9,0,0","6,0,0","9,0,0","0,41,0","0,45,0","0,53,0","0,34,0","0,0,56","0,0,38","0,0,36","0,0,25",113.6
"3,0,0","9,0,0","4,0,0","7,0,0","0,44,0","0,41,0","0,52,0","0,42,0","0,0,59","0,0,47","0,0,39","0,0,25",113.61666666666666
"2,0,0","9,0,0","4,0,0","5,0,0","0,51,0","0,41,0","0,61,0","0,40,0","0,0,55","0,0,45","0,0,40","0,0,25",113.63333333333334
"2,0,0","7,0,0","4,0,0","5,0,0","0,49,0","0,40,0","0,55,0","0,37,0","0,0,49","0,0,42","0,0,39","0,0,26",113.65
"2,0,0","6,0,0","4,0,0","4,0,0","0,44,0","0,41,0","0,61,0","0,50,0","0,0,49","0,0,42","0,0,45","0,0,36",113.66666666666667
"2,0,0","5,0,0","4,0,0","3,0,0","0,43,0","0,43,0","0,61,0","0,49,0","0,0,56","0,0,42","0,0,46","0,0,35",113.68333333333334
"1,0,0","7,0,0","3,0,0","4,0,0","0,41,0","0,44,0","0,61,0","0,50,0","0,0,59","0,0,41","0,0,43","0,0,35",113.7
"2,0,0","7,0,0","2,0,0","7,0,0","0,37,0","0,38,0","0,63,0","0,47,0","0,0,58","0,0,41","0,0,42","0,0,34",113.71666666666667
"1,0,0","5,0,0","2,0,0","6,0,0","0,33,0","0,38,0","0,57,0","0,47,0","0,0,57","0,0,39","0,0,41","0,0,32",113.73333333333333
"2,0,0","6,0,0","2,0,0","4,0,0","0,30,0","0,41,0","0,54,0","0,48,0","0,0,55","0,0,42","0,0,39","0,0,31",113.75
"2,0,0","9,0,0","1,0,0","7,0,0","0,33,0","0,39,0","0,60,0","0,42,0","0,0,55","0,0,41","0,0,38","0,0,28",113.76666666666667
"1,0,0","7,0,0","4,0,0","7,0,0","0,32,0","0,36,0","0,57,0","0,45,0","0,0,55","0,0,41","0,0,35","0,0,28",113.78333333333333
"1,0,0","5,0,0","3,0,0","8,0,0","0,40,0","0,35,0","0,54,0","0,41,0","0,0,55","0,0,37","0,0,33","0,0,27",113.8
"1,0,0","4,0,0","4,0,0","11,0,0","0,34,0","0,40,0","0,50,0","0,36,0","0,0,63","0,0,44","0,0,34","0,0,28",113.81666666666666
"1,0,0","3,0,0","3,0,0","10,0,0","0,33,0","0,49,0","0,72,0","0,32,0","0,0,69","0,0,52","0,0,43","0,0,36",113.83333333333333
"1,0,0","4,0,0","4,0,0","8,0,0","0,38,0","0,53,0","0,86,0","0,44,0","0,0,69","0,0,60","0,0,54","0,0,54",113.85
"0,0,0","3,0,0","3,0,0","11,0,0","0,37,0","0,53,0","0,90,0","0,40,0","0,0,73","0,0,63","0,0,62","0,0,62",113.86666666666666
"0,0,0","3,0,0","3,0,0","10,0,0","0,33,0","0,58,0","0,84,0","0,36,0","0,0,71","0,0,56","0,0,55","0,0,60",113.88333333333334
"0,0,0","2,0,0","3,0,0","10,0,0","0,29,0","0,53,0","0,76,0","0,32,0","0,0,65","0,0,51","0,0,55","0,0,57",113.9
"0,0,0","2,0,0","2,0,0","10,0,0","0,25,0","0,52,0","0,70,0","0,34,0","0,0,60","0,0,49","0,0,57","0,0,55",113.91666666666667
"1,0,0","4,0,0","2,0,0","8,0,0","0,23,0","0,46,0","0,70,0","0,36,0","0,0,59","0,0,51","0,0,55","0,0,62",113.93333333333334
"1,0,0","3,0,0","5,0,0","11,0,0","0,26,0","0,51,0","0,72,0","0,35,0","0,0,57","0,0,52","0,0,55","0,0,62",113.95
"1,0,0","4,0,0","4,0,0","9,0,0","0,30,0","0,49,0","0,65,0","0,34,0","0,0,58","0,0,53","0,0,60","0,0,62",113.96666666666667
"1,0,0","3,0,0","3,0,0","8,0,0","0,33,0","0,44,0","0,60,0","0,34,0","0,0,61","0,0,52","0,0,65","0,0,56",113.98333333333333
"0,0,0","3,0,0","3,0,0","8,0,0","0,33,0","0,40,0","0,60,0","0,32,0","0,0,55","0,0,48","0,0,54","0,0,49",114.0
"1,0,0","6,0,0","2,0,0","7,0,0","0,30,0","0,38,0","0,52,0","0,34,0","0,0,54","0,0,44","0,0,48","0,0,43",114.01666666666667
"0,0,0","4,0,0","2,0,0","7,0,0","0,32,0","0,44,0","0,57,0","0,36,0","0,0,55","0,0,46","0,0,51","0,0,50",114.03333333333333
"1,0,0","3,0,0","2,0,0","9,0,0","0,32,0","0,51,0","0,60,0","0,34,0","0,0,56","0,0,47","0,0,44","0,0,48",114.05
"1,0,0","4,0,0","3,0,0","9,0,0","0,29,0","0,46,0","0,56,0","0,31,0","0,0,59","0,0,46","0,0,39","0,0,43",114.06666666666666
"1,0,0","5,0,0","2,0,0","9,0,0","0,36,0","0,40,0","0,74,0","0,37,0","0,0,54","0,0,44","0,0,38","0,0,38",114.08333333333333
"1,0,0","4,0,0","4,0,0","7,0,0","0,39,0","0,40,0","0,80,0","0,36,0","0,0,50","0,0,41","0,0,36","0,0,35",114.1
"1,0,0","4,0,0","3,0,0","6,0,0","0,40,0","0,37,0","0,73,0","0,44,0","0,0,50","0,0,40","0,0,37","0,0,34",114.11666666666666
"2,0,0","7,0,0","2,0,0","5,0,0","0,39,0","0,31,0","0,64,0","0,43,0","0,0,45","0,0,36","0,0,35","0,0,35",114.13333333333334
"1,0,0","6,0,0","3,0,0","6,0,0","0,34,0","0,28,0","0,56,0","0,36,0","0,0,41","0,0,34","0,0,31","0,0,31",114.15
"2,0,0","4,0,0","3,0,0","5,0,0","0,30,0","0,26,0","0,51,0","0,32,0","0,0,37","0,0,31","0,0,27","0,0,27",114.16666666666667
"2,0,0","7,0,0","2,0,0","5,0,0","0,27,0","0,30,0","0,45,0","0,28,0","0,0,36","0,0,29","0,0,26","0,0,25",114.18333333333334
"1,0,0","6,0,0","3,0,0","4,0,0","0,31,0","0,27,0","0,43,0","0,32,0","0,0,35","0,0,27","0,0,22","0,0,22",114.2
"2,0,0","6,0,0","2,0,0","7,0,0","0,28,0","0,32,0","0,42,0","0,32,0","0,0,33","0,0,28","0,0,24","0,0,21",114.21666666666667
"2,0,0","5,0,0","5,0,0","14,0,0","0,70,0","0,56,0","0,52,0","0,33,0","0,0,36","0,0,30","0,0,29","0,0,28",114.23333333333333
"2,0,0","7,0,0","21,0,0","48,0,0","0,78,0","0,45,0","0,44,0","0,27,0","0,0,31","0,0,25","0,0,26","0,0,23",114.25
"1,0,0","39,0,0","30,0,0","39,0,0","0,65,0","0,38,0","0,43,0","0,29,0","0,0,28","0,0,24","0,0,25","0,0,21",114.26666666666667
"3,0,0","50,0,0","24,0,0","31,0,0","0,53,0","0,34,0","0,37,0","0,30,0","0,0,28","0,0,22","0,0,23","0,0,19",114.28333333333333
"5,0,0","61,0,0","19,0,0","26,0,0","0,45,0","0,31,0","0,36,0","0,35,0","0,0,29","0,0,23","0,0,25","0,0,18",114.3
"12,0,0","53,0,0","16,0,0","21,0,0","0,42,0","0,31,0","0,38,0","0,35,0","0,0,28","0,0,24","0,0,27","0,0,18",114.31666666666666
"17,0,0","42,0,0","12,0,0","17,0,0","0,51,0","0,30,0","0,35,0","0,32,0","0,0,31","0,0,23","0,0,27","0,0,21",114.33333333333333
"16,0,0","34,0,0","10,0,0","15,0,0","0,46,0","0,28,0","0,35,0","0,33,0","0,0,30","0,0,26","0,0,27","0,0,21",114.35
"15,0,0","27,0,0","8,0,0","13,0,0","0,50,0","0,37,0","0,40,0","0,41,0","0,0,32","0,0,27","0,0,29","0,0,24",114.36666666666666
"12,0,0","25,0,0","8,0,0","11,0,0","0,55,0","0,36,0","0,48,0","0,43,0","0,0,36","0,0,30","0,0,37","0,0,25",114.38333333333334
"10,0,0","20,0,0","6,0,0","9,0,0","0,49,0","0,40,0","0,57,0","0,37,0","0,0,44","0,0,32","0,0,48","0,0,28",114.4
"8,0,0","19,0,0","6,0,0","8,0,0","0,46,0","0,37,0","0,56,0","0,39,0","0,0,43","0,0,32","0,0,46","0,0,31",114.41666666666667
"6,0,0","15,0,0","6,0,0","8,0,0","0,41,0","0,35,0","0,47,0","0,39,0","0,0,45","0,0,32","0,0,42","0,0,27",114.43333333333334
"5,0,0","12,0,0","5,0,0","6,0,0","0,38,0","0,31,0","0,43,0","0,47,0","0,0,49","0,0,34","0,0,39","0,0,25",114.45
"4,0,0","11,0,0","4,0,0","6,0,0","0,45,0","0,31,0","0,38,0","0,55,0","0,0,48","0,0,43","0,0,38","0,0,29",114.46666666666667
"3,0,0","9,0,0","4,0,0","6,0,0","0,37,0","0,33,0","0,55,0","0,57,0","0,0,50","0,0,45","0,0,41","0,0,29",114.48333333333333
"3,0,0","8,0,0","3,0,0","4,0,0","0,32,0","0,32,0","0,60,0","0,52,0","0,0,45","0,0,41","0,0,38","0,0,27",114.5
"2,0,0","6,0,0","3,0,0","5,0,0","0,31,0","0,34,0","0,60,0","0,46,0","0,0,42","0,0,38","0,0,40","0,0,26",114.51666666666667
"2,0,0","5,0,0","2,0,0","4,0,0","0,32,0","0,36,0","0,49,0","0,42,0","0,0,47","0,0,38","0,0,39","0,0,28",114.53333333333333
